"feedback_id";"citizen_id";"complaint_id";"rating";"comment"
10;319;47;4;"Staff was polite and helpful."
12;463;438;3;"Staff was polite and helpful."
18;977;436;5;"Excellent service!"
23;13;359;4;"Staff was polite and helpful."
29;50;571;1;"Issue still not fixed after several days."
31;95;429;4;"Staff was polite and helpful."
37;265;473;4;"Issue still not fixed after several days."
38;582;824;2;"Issue still not fixed after several days."
39;802;474;1;"Problem solved, thanks."
40;886;733;1;"Staff was polite and helpful."
42;1;914;3;"Resolved faster than expected."
43;388;254;5;"Problem solved, thanks."
47;559;868;4;"Still waiting for action."
49;158;785;3;"Quick response, thank you!"
50;291;754;5;"Quick response, thank you!"
51;647;686;1;"Still waiting for action."
53;386;754;2;"Issue still not fixed after several days."
57;148;864;3;"Had to call multiple times."
60;962;855;5;"Resolved faster than expected."
62;560;787;3;"Excellent service!"
63;756;856;5;"Quick response, thank you!"
66;480;754;3;"Very satisfied with the resolution."
67;39;798;5;"Still waiting for action."
68;432;440;2;"Resolved faster than expected."
71;401;754;1;"Staff was polite and helpful."
72;326;167;4;"Still waiting for action."
73;157;486;5;"Staff was polite and helpful."
76;502;97;1;"Excellent service!"
80;210;339;4;"Still waiting for action."
81;468;231;5;"Excellent service!"
82;63;617;3;"Quick response, thank you!"
89;16;737;1;"Excellent service!"
94;926;800;4;"Staff was polite and helpful."
96;349;986;2;"Still waiting for action."
97;784;418;4;"Still waiting for action."
105;418;1000;3;"Resolved faster than expected."
110;439;287;1;"Still waiting for action."
118;22;282;1;"Issue still not fixed after several days."
120;431;117;3;"Issue still not fixed after several days."
121;921;981;4;"Problem solved, thanks."
123;912;222;5;"Problem solved, thanks."
128;97;654;5;"Still waiting for action."
129;553;551;5;"Staff was polite and helpful."
132;874;763;5;"Problem solved, thanks."
138;519;878;5;"Quick response, thank you!"
144;796;790;1;"Problem solved, thanks."
147;576;856;2;"Quick response, thank you!"
149;367;948;2;"Resolved faster than expected."
155;157;185;4;"Very satisfied with the resolution."
160;655;917;3;"Problem solved, thanks."
161;145;712;2;"Had to call multiple times."
162;602;201;4;"Staff was polite and helpful."
168;922;954;2;"Problem solved, thanks."
170;929;869;2;"Staff was polite and helpful."
172;735;712;1;"Please improve response time."
176;337;862;2;"Quick response, thank you!"
182;569;963;3;"Excellent service!"
186;935;195;1;"Still waiting for action."
191;342;373;1;"Staff was polite and helpful."
193;264;725;3;"Staff was polite and helpful."
200;485;238;4;"Please improve response time."
202;933;291;4;"Quick response, thank you!"
207;860;700;4;"Problem solved, thanks."
214;190;314;2;"Problem solved, thanks."
220;758;23;1;"Problem solved, thanks."
223;490;370;5;"Issue still not fixed after several days."
224;504;631;3;"Still waiting for action."
225;369;243;2;"Resolved faster than expected."
227;2;524;4;"Staff was polite and helpful."
228;729;385;5;"Still waiting for action."
232;609;954;2;"Please improve response time."
237;724;869;3;"Very satisfied with the resolution."
238;963;928;3;"Still waiting for action."
239;537;843;1;"Still waiting for action."
243;263;803;5;"Excellent service!"
244;791;85;1;"Quick response, thank you!"
246;331;522;3;"Issue still not fixed after several days."
249;594;372;1;"Quick response, thank you!"
251;383;754;2;"Very satisfied with the resolution."
254;486;133;2;"Issue still not fixed after several days."
258;655;903;5;"Still waiting for action."
263;96;503;3;"Very satisfied with the resolution."
266;854;694;3;"Had to call multiple times."
268;499;15;3;"Staff was polite and helpful."
270;293;36;5;"Resolved faster than expected."
273;955;867;3;"Had to call multiple times."
274;31;339;5;"Problem solved, thanks."
279;888;108;3;"Please improve response time."
281;330;925;5;"Still waiting for action."
287;548;856;3;"Quick response, thank you!"
291;949;888;1;"Very satisfied with the resolution."
292;655;621;5;"Problem solved, thanks."
295;765;571;3;"Staff was polite and helpful."
297;681;973;5;"Issue still not fixed after several days."
300;71;763;2;"Had to call multiple times."
302;850;524;4;"Very satisfied with the resolution."
303;649;473;4;"Had to call multiple times."
304;836;519;1;"Had to call multiple times."
306;567;712;5;"Still waiting for action."
307;699;326;1;"Quick response, thank you!"
308;436;682;4;"Quick response, thank you!"
309;544;47;3;"Very satisfied with the resolution."
316;917;117;4;"Quick response, thank you!"
318;244;734;3;"Staff was polite and helpful."
328;484;86;4;"Staff was polite and helpful."
330;554;948;3;"Staff was polite and helpful."
332;569;160;2;"Staff was polite and helpful."
335;755;11;4;"Still waiting for action."
336;33;110;4;"Please improve response time."
339;424;177;5;"Issue still not fixed after several days."
349;115;243;5;"Resolved faster than expected."
350;34;747;3;"Issue still not fixed after several days."
351;800;321;4;"Very satisfied with the resolution."
353;779;926;1;"Very satisfied with the resolution."
362;737;551;4;"Had to call multiple times."
368;283;977;2;"Excellent service!"
371;508;359;4;"Excellent service!"
372;383;809;1;"Excellent service!"
383;149;9;1;"Resolved faster than expected."
385;74;888;2;"Issue still not fixed after several days."
386;483;859;2;"Very satisfied with the resolution."
388;466;123;4;"Resolved faster than expected."
389;300;193;1;"Resolved faster than expected."
390;385;243;4;"Had to call multiple times."
393;139;81;4;"Quick response, thank you!"
396;337;375;5;"Staff was polite and helpful."
398;670;820;2;"Quick response, thank you!"
399;163;903;2;"Please improve response time."
400;483;679;3;"Issue still not fixed after several days."
401;194;177;5;"Resolved faster than expected."
406;412;469;5;"Issue still not fixed after several days."
414;537;998;2;"Staff was polite and helpful."
418;513;89;4;"Please improve response time."
419;809;641;1;"Problem solved, thanks."
422;61;222;2;"Resolved faster than expected."
423;737;470;3;"Please improve response time."
430;881;636;3;"Resolved faster than expected."
431;666;121;1;"Quick response, thank you!"
435;825;789;4;"Quick response, thank you!"
450;324;396;1;"Quick response, thank you!"
452;35;416;1;"Still waiting for action."
453;175;828;4;"Still waiting for action."
460;83;409;1;"Quick response, thank you!"
464;652;672;5;"Still waiting for action."
465;240;507;4;"Resolved faster than expected."
466;599;617;2;"Resolved faster than expected."
468;664;122;1;"Still waiting for action."
470;457;604;1;"Staff was polite and helpful."
472;208;64;4;"Resolved faster than expected."
474;527;254;5;"Very satisfied with the resolution."
475;891;672;2;"Very satisfied with the resolution."
478;915;699;2;"Issue still not fixed after several days."
483;262;272;3;"Staff was polite and helpful."
487;640;824;1;"Excellent service!"
489;275;291;2;"Staff was polite and helpful."
490;525;78;1;"Very satisfied with the resolution."
494;345;626;1;"Quick response, thank you!"
496;892;26;3;"Issue still not fixed after several days."
497;436;188;1;"Resolved faster than expected."
498;89;628;3;"Still waiting for action."
502;957;973;3;"Very satisfied with the resolution."
505;647;867;5;"Please improve response time."
506;411;418;4;"Please improve response time."
509;713;907;1;"Resolved faster than expected."
512;288;631;3;"Staff was polite and helpful."
513;408;110;5;"Please improve response time."
519;859;616;1;"Very satisfied with the resolution."
522;803;469;4;"Still waiting for action."
523;387;791;1;"Had to call multiple times."
527;568;869;3;"Please improve response time."
529;401;370;2;"Resolved faster than expected."
533;842;575;3;"Issue still not fixed after several days."
534;566;763;3;"Quick response, thank you!"
535;564;763;3;"Had to call multiple times."
540;468;321;5;"Issue still not fixed after several days."
541;669;418;3;"Had to call multiple times."
545;298;733;1;"Still waiting for action."
546;100;19;2;"Please improve response time."
551;224;411;3;"Please improve response time."
553;839;942;1;"Quick response, thank you!"
554;524;191;2;"Had to call multiple times."
559;76;122;1;"Had to call multiple times."
563;772;395;2;"Problem solved, thanks."
567;880;79;3;"Still waiting for action."
569;944;45;5;"Resolved faster than expected."
571;894;790;4;"Still waiting for action."
574;371;686;3;"Staff was polite and helpful."
575;881;805;4;"Please improve response time."
579;712;785;5;"Excellent service!"
581;236;206;5;"Staff was polite and helpful."
